Landmark,X Pos,Y Pos
0,644,146
13,737,279
14,552,275
0,644,143
13,736,279
14,549,273
0,644,143
13,736,279
14,550,273
0,644,143
13,736,280
14,550,273
0,644,143
13,736,281
14,551,274
0,643,141
13,737,279
14,551,276
0,644,142
13,736,282
14,550,276
0,644,146
13,733,285
14,550,282
0,644,153
13,733,291
14,552,289
0,647,163
13,737,296
14,556,293
0,644,176
13,733,304
14,556,302
0,643,195
13,732,318
14,555,313
0,643,209
13,736,327
14,557,325
0,642,227
13,730,343
14,558,338
0,640,247
13,732,367
14,556,353
0,638,262
13,730,380
14,553,371
0,642,282
13,728,377
14,564,378
0,641,297
13,727,419
14,554,399
0,639,311
13,724,421
14,558,411
0,640,329
13,742,430
14,551,430
0,639,341
13,741,441
14,556,439
0,641,351
13,740,448
14,558,440
0,646,370
13,745,466
14,547,466
0,648,376
13,744,472
14,544,474
0,644,383
13,743,479
14,548,480
0,644,394
13,742,488
14,547,488
0,646,396
13,741,493
14,546,494
0,644,409
13,744,497
14,545,498
0,646,401
13,746,494
14,545,495
0,644,401
13,745,489
14,544,490
0,644,400
13,742,479
14,543,479
0,646,380
13,741,470
14,545,468
0,642,370
13,734,462
14,546,465
0,643,351
13,739,445
14,549,457
0,641,336
13,733,430
14,549,428
0,639,319
13,727,404
14,545,409
0,639,299
13,726,394
14,551,399
0,637,281
13,728,370
14,547,383
0,637,262
13,729,361
14,547,363
0,639,241
13,735,355
14,548,346
0,639,220
13,739,342
14,546,332
0,638,201
13,742,324
14,547,320
0,637,188
13,740,311
14,547,306
0,638,175
13,738,297
14,553,297
0,640,164
13,733,289
14,546,286
0,639,154
13,734,285
14,548,280
0,640,147
13,737,280
14,548,275
0,640,145
13,738,283
14,549,271
0,643,143
13,737,280
14,553,274
0,640,145
13,735,283
14,551,275
0,640,146
13,734,281
14,552,278
0,641,150
13,735,280
14,553,279
0,641,150
13,735,282
14,554,280
0,642,150
13,736,283
14,553,279
0,642,151
13,737,281
14,555,282
0,642,152
13,737,280
14,555,281
